Negatives,Positives,Fluctuations,Type
1196,1201,69,Normal
1183,1188,68,Normal
1197,1202,72,Normal
1193,1185,61,Normal
1179,1093,46,Normal
1188,1125,59,Normal
1159,1112,28,Normal
1161,1214,55,Normal
1145,1126,44,Normal
1123,1181,50,Normal
1133,1160,38,Normal
1165,1127,30,Normal
1077,1130,20,Normal
1098,1059,18,Normal
1098,1070,30,Normal
1199,1117,36,Normal
1336,1161,80,Normal
1339,1162,83,Normal
1312,1174,89,Normal
1284,1215,90,Normal
1293,1176,61,Normal
1305,1166,74,Normal
1177,1297,68,Normal
1288,1203,79,Normal
1316,1100,54,Normal
1254,1167,62,Normal
1248,1189,62,Normal
1247,1223,74,Normal
1267,1052,19,Normal
1255,1126,49,Normal
1241,1184,58,Normal
1221,1255,81,Normal
1187,1234,76,Normal
1298,1135,71,Normal
1206,1227,58,Normal
1145,1241,58,Normal
1229,1130,52,Normal
1177,1165,30,Normal
1218,1079,43,Normal
1226,1155,61,Normal
1133,1257,53,Normal
1264,1114,48,Normal
1180,1167,56,Normal
1198,1170,55,Normal
1086,1104,12,Normal
1096,1094,14,Normal
1104,983,5,Normal
1233,1123,33,Normal
1248,1139,99,Depression
1262,1123,86,Depression
1238,1117,83,Depression
1226,1140,86,Depression
1203,1091,57,Depression
1177,1106,61,Depression
1141,1041,33,Depression
1193,1112,69,Depression
1176,1035,34,Depression
1200,1071,41,Depression
1188,1094,65,Depression
1195,1091,56,Depression
1120,1024,19,Depression
1143,1011,27,Depression
1158,1033,43,Depression
1205,1129,86,Depression
1199,1269,38,Depression
1244,1256,46,Depression
1223,1277,48,Depression
1235,1267,40,Depression
1244,1218,31,Depression
1235,1234,34,Depression
1215,1208,22,Depression
1247,1218,37,Depression
1174,1274,25,Depression
1166,1302,30,Depression
1179,1279,40,Depression
1221,1201,35,Depression
1092,1297,14,Depression
1122,1211,10,Depression
1064,1073,2,Depression
1199,1208,12,Depression
1185,1166,48,Depression
1147,1202,65,Depression
1135,1221,58,Depression
1155,1186,55,Depression
1144,1136,45,Depression
1144,1165,76,Depression
1114,1164,64,Depression
1135,1152,54,Depression
1152,1132,36,Depression
1068,1151,43,Depression
1110,1097,48,Depression
1121,1094,53,Depression
1036,1077,29,Depression
1060,1056,81,Depression
1025,1016,40,Depression
1084,1112,44,Depression
