Negatives,Positives,Fluctuations,Type
1196,1201,69,0
1183,1188,68,0
1197,1202,72,0
1193,1185,61,0
1179,1093,46,0
1188,1125,59,0
1159,1112,28,0
1161,1214,55,0
1145,1126,44,0
1123,1181,50,0
1133,1160,38,0
1165,1127,30,0
1077,1130,20,0
1098,1059,18,0
1098,1070,30,0
1199,1117,36,0
1336,1161,80,0
1339,1162,83,0
1312,1174,89,0
1284,1215,90,0
1293,1176,61,0
1305,1166,74,0
1177,1297,68,0
1288,1203,79,0
1316,1100,54,0
1254,1167,62,0
1248,1189,62,0
1247,1223,74,0
1267,1052,19,0
1255,1126,49,0
1241,1184,58,0
1221,1255,81,0
1187,1234,76,0
1298,1135,71,0
1206,1227,58,0
1145,1241,58,0
1229,1130,52,0
1177,1165,30,0
1218,1079,43,0
1226,1155,61,0
1133,1257,53,0
1264,1114,48,0
1180,1167,56,0
1198,1170,55,0
1086,1104,12,0
1096,1094,14,0
1104,983,5,0
1233,1123,33,0
1248,1139,99,1
1262,1123,86,1
1238,1117,83,1
1226,1140,86,1
1203,1091,57,1
1177,1106,61,1
1141,1041,33,1
1193,1112,69,1
1176,1035,34,1
1200,1071,41,1
1188,1094,65,1
1195,1091,56,1
1120,1024,19,1
1143,1011,27,1
1158,1033,43,1
1205,1129,86,1
1199,1269,38,1
1244,1256,46,1
1223,1277,48,1
1235,1267,40,1
1244,1218,31,1
1235,1234,34,1
1215,1208,22,1
1247,1218,37,1
1174,1274,25,1
1166,1302,30,1
1179,1279,40,1
1221,1201,35,1
1092,1297,14,1
1122,1211,10,1
1064,1073,2,1
1199,1208,12,1
1185,1166,48,1
1147,1202,65,1
1135,1221,58,1
1155,1186,55,1
1144,1136,45,1
1144,1165,76,1
1114,1164,64,1
1135,1152,54,1
1152,1132,36,1
1068,1151,43,1
1110,1097,48,1
1121,1094,53,1
1036,1077,29,1
1060,1056,81,1
1025,1016,40,1
1084,1112,44,1
